'',WP$,NNS,WRB,RBR,$,PRP,PRP$,``,JJ,VBG,:,NNPS,FW,NNP,CC,NN,(,),PDT,#,VBP,CD,VBN,RBS,VBZ,WDT,TO,VB,WP,EX,MD,JJR,SYM,RB,DT,VBD,RP,UH,POS,JJS,IN,length
0,0,40,2,1,0,35,1,0,66,12,0,0,0,44,14,110,0,0,1,0,31,38,7,0,29,10,17,32,2,1,8,1,0,35,84,12,0,0,0,0,89,722.0
0,0,129,9,4,8,230,28,0,280,41,0,1,2,167,93,483,0,0,3,0,175,213,33,0,177,23,84,205,30,16,55,5,0,171,325,42,10,0,19,2,263,3326.0
0,1,305,34,8,11,444,25,0,648,78,39,4,9,633,241,981,0,0,8,0,358,210,112,4,453,59,141,332,45,40,106,23,0,448,582,141,26,2,16,9,628,7204.0
1,1,317,53,4,2,528,32,0,595,102,12,1,6,735,239,1122,0,0,17,0,436,132,114,2,396,78,170,383,55,35,102,18,1,486,703,122,23,2,11,4,801,7841.0
3,0,551,63,19,10,1057,60,0,1326,214,7,1,13,1207,414,2613,0,0,35,0,950,193,199,4,693,102,378,911,54,74,271,67,0,961,1300,177,57,2,27,74,1414,15501.0
0,1,319,45,26,6,668,14,0,707,148,0,0,7,1022,318,1362,0,0,17,0,510,315,94,5,531,80,208,516,34,55,155,35,0,667,853,111,28,1,11,15,974,9858.0
1,0,416,91,16,7,1198,51,0,1177,284,50,2,15,1156,493,2716,0,0,38,0,802,181,190,3,810,156,374,867,107,43,248,31,0,746,1653,228,54,1,25,4,1559,15793.0
0,0,44,7,0,0,52,7,0,102,13,0,0,0,121,20,188,0,0,2,0,63,17,14,0,53,9,12,35,8,0,6,1,0,73,118,5,2,0,2,0,130,1104.0
3,2,204,55,15,5,621,33,0,704,115,3,2,8,872,212,1394,0,0,28,0,401,143,110,3,517,78,191,548,74,17,149,34,0,524,846,136,29,2,33,15,730,8856.0
1,0,737,82,30,10,1055,169,0,1276,187,0,1,10,1147,634,2432,0,0,66,0,891,301,151,7,474,88,297,907,58,30,371,45,0,1365,1401,180,75,5,15,32,1645,16175.0
0,0,11,1,0,0,17,3,0,20,8,0,0,1,13,13,80,0,0,0,0,17,2,5,0,22,6,16,20,0,2,6,2,0,21,50,3,2,0,0,1,44,386.0
0,0,39,9,1,0,98,16,0,102,19,0,0,2,62,44,234,0,0,0,0,49,59,14,0,101,16,38,96,15,1,25,3,0,112,135,20,2,0,1,0,141,1454.0
2,1,380,88,18,0,660,32,0,908,123,21,1,14,967,334,2017,0,0,23,0,561,182,192,5,556,143,229,532,68,59,193,23,0,580,1107,239,31,3,17,7,1334,11650.0
0,0,216,51,10,3,477,17,0,611,83,0,0,4,837,165,1013,0,0,20,0,366,193,64,0,440,82,129,390,51,4,146,24,0,400,649,76,31,1,22,30,613,7218.0
1,3,269,42,5,5,453,30,0,682,59,0,2,5,975,203,1038,0,0,20,0,413,332,67,5,451,59,134,301,75,29,87,15,0,388,654,162,36,0,10,2,609,7621.0
0,0,78,18,2,1,234,79,0,352,49,0,0,9,324,101,645,0,0,13,0,149,102,31,0,214,25,168,281,14,13,57,4,0,197,387,42,4,1,10,5,301,3910.0
0,0,263,47,14,1,484,25,0,717,123,0,2,3,776,237,1213,0,0,13,0,351,164,76,2,383,67,185,440,59,32,154,16,0,379,735,135,32,0,18,4,725,7875.0
2,0,387,71,22,3,1138,64,0,1161,288,45,0,13,1178,480,2506,0,0,44,0,831,168,168,3,919,166,367,762,101,66,242,48,0,855,1618,194,46,1,28,10,1523,15518.0
4,0,331,65,18,3,890,70,0,1022,232,21,2,14,1460,431,1904,0,0,26,0,674,234,180,1,653,101,325,640,102,32,176,84,0,757,1039,221,57,2,25,27,1190,13013.0
1,0,272,40,9,6,587,25,0,770,93,0,0,6,932,245,1104,0,0,29,0,348,146,94,3,447,89,158,391,33,19,107,23,0,548,803,164,42,1,10,5,878,8428.0
1,0,122,19,4,1,211,33,0,265,45,0,1,5,310,123,492,0,0,3,0,136,127,33,0,189,30,106,175,26,7,27,11,0,227,339,59,29,0,8,0,329,3493.0
0,0,196,46,10,29,568,19,0,627,137,19,1,1,694,262,1082,0,0,16,0,414,287,56,3,495,67,223,356,46,21,70,50,0,542,773,147,34,1,11,4,737,8044.0
0,0,55,9,3,46,88,6,0,109,11,1,0,0,98,45,166,0,0,7,0,75,138,22,0,45,9,26,66,4,5,17,5,0,71,115,33,5,0,5,0,106,1391.0
2,2,491,67,10,16,767,68,0,1040,182,82,3,12,1234,405,1962,0,0,49,0,666,611,151,5,732,104,223,554,103,64,156,88,0,686,1125,187,53,1,22,25,1115,13063.0
0,0,39,7,1,0,64,9,0,99,14,0,0,4,149,24,191,0,0,1,0,42,45,35,0,81,18,25,58,7,4,20,3,0,58,119,20,5,0,0,0,157,1299.0
0,9,232,60,7,7,481,18,0,771,119,2,0,6,962,238,1456,0,0,10,0,375,128,91,8,552,73,197,390,54,35,98,9,0,406,890,127,27,1,15,8,797,8659.0
3,1,67,12,0,0,209,13,0,172,47,0,0,2,132,83,455,0,0,12,0,145,80,63,1,69,19,65,215,8,1,130,1,0,160,292,11,5,0,12,1,262,2748.0
0,1,466,50,19,6,910,55,0,1330,226,13,3,15,1004,309,2176,0,0,24,0,707,316,171,3,742,114,357,648,43,57,168,60,0,916,1112,160,53,0,20,38,1321,13613.0
1,0,291,59,4,7,610,51,0,596,231,4,1,7,636,245,1255,0,0,15,0,472,124,121,3,407,58,258,476,66,13,99,10,0,553,684,110,44,0,24,2,689,8226.0
0,0,57,4,2,0,77,1,0,98,9,0,0,1,48,31,159,0,0,2,0,71,16,14,1,40,15,18,54,5,3,19,1,0,48,125,6,5,0,0,0,124,1054.0
1,0,218,42,10,2,521,24,0,566,68,10,0,7,860,189,945,0,0,19,0,360,285,78,1,382,49,134,454,85,22,122,20,0,413,637,116,37,0,13,4,607,7301.0
0,0,37,7,1,0,121,16,0,175,59,0,0,0,120,58,419,0,0,5,0,80,25,43,0,81,7,63,140,4,0,52,1,0,98,230,13,5,0,6,1,227,2094.0
1,0,66,7,1,9,147,7,0,206,33,0,0,1,162,54,384,0,0,8,0,123,118,26,0,118,19,68,144,21,2,42,2,0,110,214,19,7,0,4,1,179,2303.0
0,0,48,2,2,0,48,3,0,86,11,0,0,1,126,44,204,0,0,1,0,59,29,12,0,81,20,22,36,5,3,6,5,0,62,156,12,2,0,1,2,140,1229.0
1,0,239,47,15,7,629,15,0,828,125,0,1,11,1138,265,1465,0,0,22,0,435,149,129,2,546,93,209,481,50,18,136,31,0,633,935,104,30,1,19,12,925,9746.0
2,1,224,32,6,2,425,22,0,568,78,12,0,4,625,239,1070,0,0,19,0,330,98,71,0,360,57,137,326,34,25,102,29,0,357,634,107,32,0,12,9,600,6649.0
1,2,553,92,18,2,987,37,0,1276,195,23,0,7,1084,394,2315,0,0,55,0,916,185,163,0,650,90,327,715,49,52,187,60,1,812,1350,177,50,2,18,17,1317,14179.0
0,0,31,3,2,0,157,12,0,122,63,0,0,4,305,70,200,0,0,3,0,79,42,12,0,85,7,124,167,9,0,45,0,0,100,171,8,3,1,3,0,189,2017.0
0,0,69,11,3,0,160,17,0,275,20,0,2,0,145,86,379,0,0,1,0,100,110,17,0,102,17,92,127,10,1,39,0,0,119,194,40,17,0,2,1,153,2309.0
0,0,110,11,2,2,212,18,0,240,44,0,0,6,210,113,535,0,0,2,0,169,72,36,0,138,19,67,130,6,1,35,1,0,201,291,37,7,0,6,0,349,3070.0
0,0,143,14,6,13,256,30,0,262,48,0,0,2,238,105,492,0,0,10,0,207,118,47,0,112,10,64,197,11,10,73,7,0,235,301,29,13,0,5,1,322,3381.0
0,0,24,3,2,3,45,9,0,72,14,0,0,2,42,20,179,0,0,0,0,36,18,8,0,47,10,25,45,3,2,11,0,0,44,115,5,3,0,0,0,101,888.0
0,2,606,80,17,65,1103,55,0,1230,227,13,3,7,1354,431,2376,0,0,51,0,924,298,141,2,697,106,363,890,54,69,280,35,0,900,1536,228,53,1,26,43,1361,15627.0
2,0,38,15,2,0,142,3,0,179,14,0,0,0,149,64,326,0,0,12,0,78,31,41,0,114,15,27,109,28,1,36,6,0,131,197,29,9,0,1,0,214,2013.0
1,0,512,62,19,9,966,37,0,1297,192,21,1,17,1088,420,2152,0,0,46,0,877,259,169,12,724,132,360,767,48,82,197,89,0,878,1414,193,39,1,7,50,1315,14453.0
7,0,100,11,0,2,166,13,0,238,35,0,0,0,147,97,614,0,0,13,0,94,103,41,0,151,18,113,197,11,4,71,9,0,151,440,20,2,2,12,1,372,3255.0
0,1,213,34,15,3,469,14,0,696,109,4,1,0,702,229,1315,0,0,22,0,353,172,105,0,425,72,166,397,65,20,137,30,0,396,808,147,37,2,19,2,831,8011.0
1,0,489,47,15,19,802,51,0,974,140,97,1,12,1468,371,1948,0,0,37,0,647,459,147,7,550,62,246,642,79,52,185,41,0,704,1010,271,80,1,33,7,1138,12833.0
1,0,424,61,11,15,856,38,0,964,114,27,0,3,1130,411,1723,0,0,23,0,660,391,153,0,498,62,234,738,75,21,261,38,1,822,1091,134,92,0,16,63,1165,12316.0
1,0,203,30,4,1,319,42,0,478,67,0,2,6,771,166,811,0,0,10,0,301,237,46,1,278,48,93,287,59,16,81,6,0,284,519,81,35,1,7,3,425,5719.0
1,0,325,57,12,3,716,35,0,895,168,36,2,9,721,272,1418,0,0,25,0,585,178,105,5,467,68,215,518,33,45,152,66,0,554,792,75,49,6,27,39,830,9504.0
1,0,458,86,25,4,999,40,0,1235,242,21,2,10,1723,404,2151,0,0,40,0,879,185,129,1,728,98,467,882,62,85,215,77,0,877,1220,181,43,1,37,99,1247,14954.0
2,1,666,71,23,4,1344,53,0,1182,350,42,3,10,1125,567,2728,0,0,57,0,1094,165,188,5,801,138,427,870,87,49,221,41,0,942,1779,239,69,2,77,36,1664,17122.0
0,0,229,56,13,2,695,26,0,854,160,19,2,4,819,205,1372,0,0,20,0,503,110,63,1,438,55,253,536,40,30,124,13,0,524,749,123,39,0,11,49,746,8883.0
14,0,793,88,33,3,767,53,0,1185,411,1,4,15,1079,554,2040,0,0,28,0,724,120,204,5,553,127,298,613,84,79,189,46,0,868,1084,174,84,3,38,22,1549,13932.0
1,0,282,94,11,6,1003,81,0,1208,317,43,0,6,1755,418,2318,0,0,32,0,733,134,150,0,847,155,414,778,108,27,142,22,1,1018,1228,215,40,3,23,19,1371,15003.0
1,0,61,4,0,9,52,3,0,113,14,0,0,2,100,37,163,0,0,4,0,49,54,9,0,46,6,22,48,5,2,16,1,0,46,75,13,0,1,2,0,85,1043.0
0,0,46,5,3,1,111,6,0,100,19,0,0,0,163,41,206,0,0,2,0,50,32,16,0,79,9,45,89,13,2,29,7,0,113,129,19,5,0,2,0,143,1485.0
1,0,268,52,12,2,545,13,0,692,146,0,0,4,813,248,1325,0,0,17,0,341,170,92,2,549,68,266,470,53,17,115,31,0,664,798,111,29,1,27,6,879,8827.0
0,0,4,1,0,0,24,2,0,27,6,1,0,0,52,12,64,0,0,1,0,11,0,4,0,16,2,6,14,2,0,5,1,0,21,21,11,1,0,1,0,23,333.0
3,1,311,38,12,24,637,36,0,750,124,0,1,7,956,285,1186,0,0,24,0,438,325,76,4,498,76,184,516,57,40,149,44,0,682,894,124,34,1,17,14,961,9529.0
1,0,336,53,8,0,713,30,0,723,165,4,2,7,987,323,1205,0,0,17,0,553,287,97,10,485,68,212,506,61,21,145,22,0,658,888,167,25,1,19,20,936,9755.0
1,1,297,57,15,4,520,13,0,839,138,1,1,5,560,181,1480,0,0,27,0,444,181,123,0,468,71,183,334,59,9,48,13,0,324,1012,113,24,2,10,0,926,8484.0
2,0,224,46,13,7,666,59,0,840,145,178,2,5,1280,198,1236,0,0,11,0,461,237,80,1,405,48,201,450,55,14,129,62,0,416,695,127,31,2,11,14,871,9222.0
0,0,119,12,3,11,262,23,0,293,42,2,0,4,300,114,494,0,0,19,0,177,128,34,0,150,11,85,199,21,3,50,1,0,176,381,46,10,0,4,1,281,3456.0
1,0,221,70,7,3,577,36,0,487,100,48,0,6,602,220,1147,0,0,10,0,381,169,131,2,336,79,170,424,71,29,138,24,0,423,696,182,34,2,9,17,755,7607.0
12,0,173,32,20,10,485,12,0,505,125,15,2,11,715,243,1058,0,0,14,0,313,256,52,2,539,41,251,428,61,16,95,25,0,485,660,98,22,0,32,3,600,7411.0
2,0,767,77,33,4,1009,75,0,1203,343,1,2,11,1297,581,2489,0,0,30,1,880,165,282,4,648,144,305,616,104,64,202,45,0,953,1345,249,80,0,14,23,1776,15824.0
0,0,33,8,1,0,148,25,0,235,23,0,0,0,349,91,455,0,0,2,0,59,26,31,0,128,17,135,181,11,5,39,0,0,122,223,59,15,0,2,1,287,2711.0
3,0,146,41,13,8,501,15,0,588,96,29,1,6,948,216,1108,0,0,21,0,312,194,76,0,503,60,166,320,57,23,70,19,0,452,763,132,29,0,36,15,694,7661.0
0,3,184,58,9,5,556,32,0,512,139,2,1,3,507,186,950,0,0,10,0,357,152,79,0,277,27,159,374,56,12,124,36,0,376,555,104,18,1,13,9,624,6510.0
1,0,248,48,15,2,642,20,0,705,94,0,1,7,1319,276,1116,0,0,20,0,387,184,121,2,518,79,161,500,52,33,179,37,0,647,779,111,35,2,19,5,861,9226.0
0,1,557,91,15,4,852,256,0,851,329,0,0,8,1156,483,1945,0,0,35,0,696,117,173,0,523,86,418,789,65,26,188,22,0,822,1116,151,38,3,10,13,1299,13138.0
1,1,372,56,16,0,994,47,0,860,274,35,6,13,1019,314,1706,0,0,20,0,680,108,136,1,559,84,374,784,98,40,145,34,0,649,977,223,71,1,14,11,1073,11796.0
1,0,273,68,7,0,540,71,0,541,142,15,6,9,704,260,1342,0,0,17,0,374,63,137,5,405,88,185,384,69,28,121,16,0,419,767,181,35,1,14,7,810,8105.0
2,0,227,60,4,0,585,43,0,633,91,3,2,7,1096,237,1087,0,0,9,0,387,109,94,1,352,53,199,488,50,23,149,16,0,495,609,59,32,0,23,7,791,8023.0
2,0,347,97,6,1,797,124,0,869,228,290,3,5,1097,235,1544,0,0,37,0,708,162,110,0,438,48,333,682,81,31,166,15,0,731,815,96,52,6,9,11,918,11094.0
0,0,43,5,1,1,46,0,0,104,23,0,0,1,143,30,185,0,0,1,0,44,38,20,0,51,7,51,58,1,4,16,4,0,68,122,7,4,0,0,1,138,1217.0
0,0,73,24,13,0,228,36,0,348,48,0,0,2,313,143,572,0,0,2,0,136,36,31,0,200,13,81,200,21,4,71,19,0,251,408,56,15,0,6,0,369,3719.0
1,0,182,27,6,3,444,20,0,442,62,1,1,3,1084,161,797,0,0,8,0,311,157,40,0,305,38,121,341,45,11,100,15,0,331,518,53,11,1,8,2,591,6241.0
1,0,302,46,5,5,537,17,0,661,128,0,0,5,811,243,1308,0,0,25,0,445,208,80,1,466,79,198,432,49,23,102,13,0,630,787,137,31,1,11,8,850,8645.0
3,0,293,59,11,0,1019,40,0,748,317,12,3,6,868,258,1575,0,0,17,0,672,93,116,1,545,94,399,760,127,28,150,27,0,639,861,160,72,3,13,1,869,10859.0
3,0,393,73,13,13,643,31,0,827,151,251,3,7,1631,278,1328,0,0,26,0,499,318,72,0,511,40,171,442,60,18,79,25,0,516,686,103,62,3,17,2,784,10079.0
0,0,14,1,0,0,65,8,0,81,13,0,0,0,42,23,205,0,0,1,0,30,19,20,0,80,14,45,69,7,10,23,2,0,65,112,15,3,0,2,1,118,1088.0
0,0,252,44,13,11,643,21,0,508,130,7,0,6,551,216,1063,0,0,14,0,397,147,80,3,327,43,179,524,89,14,177,11,0,456,645,142,23,0,14,6,639,7395.0
3,3,224,57,7,0,595,39,0,571,86,1,1,4,774,231,1390,0,0,27,0,431,195,79,1,493,46,108,397,125,25,115,4,0,415,859,157,41,0,16,1,751,8272.0
2,0,119,28,6,2,346,40,0,452,32,29,0,7,477,150,728,0,0,13,0,250,122,50,0,252,19,86,265,32,8,81,31,0,340,346,48,23,0,3,6,443,4836.0
0,0,49,4,0,2,139,3,0,150,20,2,1,1,318,65,295,0,0,5,0,120,37,30,0,101,20,60,129,13,0,34,0,0,104,206,14,2,0,7,7,218,2156.0
0,0,67,3,1,2,107,10,0,195,24,0,0,3,112,52,250,0,0,2,0,79,178,14,0,87,5,47,124,3,3,18,2,0,98,181,30,9,0,5,0,116,1827.0
0,0,206,44,5,11,560,24,0,521,86,0,1,5,696,214,1059,0,0,19,0,377,336,81,2,386,58,137,439,101,36,147,9,0,416,650,149,36,1,9,0,590,7411.0
0,0,385,83,29,1,715,9,0,1249,200,9,0,10,771,298,2209,0,0,31,0,587,189,119,4,756,130,365,508,108,30,92,57,0,741,1210,149,56,0,11,7,1538,12656.0
3,4,375,96,30,11,732,78,0,886,237,74,0,10,1618,741,2312,0,0,26,0,544,302,157,2,561,74,298,609,100,41,161,43,0,911,1149,129,36,0,46,12,1307,13715.0
0,0,9,0,0,0,10,0,0,16,1,0,0,0,8,5,35,0,0,1,0,14,3,2,0,4,1,2,10,0,0,7,1,0,5,20,1,1,0,0,0,29,185.0
2,0,372,80,20,18,982,84,0,1243,267,15,1,6,1190,456,2361,0,0,25,0,721,331,177,0,874,149,389,752,162,41,166,42,0,1125,1248,266,25,0,20,9,1380,14999.0
0,0,44,9,0,0,148,15,0,232,50,0,0,0,100,93,519,0,0,6,0,89,26,54,0,115,18,36,165,7,4,103,9,0,175,309,17,4,0,6,0,278,2631.0
0,0,17,0,0,0,26,0,0,41,19,1,0,0,45,14,61,0,0,0,0,23,22,9,0,34,5,17,19,4,1,0,0,0,37,22,8,0,0,1,0,30,456.0
0,0,210,47,6,15,552,16,0,728,120,0,0,9,1124,277,1277,0,0,14,0,374,253,105,9,502,90,238,443,50,16,134,26,0,619,873,123,41,2,10,8,789,9100.0
0,3,356,54,18,2,679,32,0,956,149,63,1,8,1155,369,2151,0,0,26,0,590,169,161,0,538,140,220,567,72,29,186,27,0,650,1091,191,29,8,22,4,1344,12060.0
0,0,163,16,1,9,348,24,0,325,43,2,0,4,293,145,551,0,0,18,0,195,187,25,2,158,20,98,289,19,8,109,3,1,259,423,69,31,0,14,0,332,4184.0
1,0,665,104,39,2,1061,98,0,1353,151,0,2,9,1176,667,2419,0,0,50,0,867,192,147,5,566,83,304,832,44,27,317,52,0,1426,1383,178,55,4,8,30,1483,15800.0
0,0,35,3,1,5,68,5,0,50,12,0,0,1,87,39,167,0,0,3,0,48,45,18,0,41,3,29,60,4,0,17,3,0,65,103,9,4,0,0,0,123,1048.0
0,0,109,12,0,1,244,15,0,224,36,0,0,0,322,137,560,0,0,5,0,147,151,45,1,132,12,110,232,6,11,58,5,0,211,306,58,18,0,9,0,314,3491.0
1,3,182,31,23,9,452,22,0,677,122,31,1,7,618,227,1203,0,0,19,0,298,192,58,3,477,47,184,330,49,18,74,24,0,407,790,116,41,3,17,0,670,7426.0
0,0,239,63,12,0,500,36,0,647,129,3,1,7,1185,213,1317,0,0,18,0,387,108,68,1,408,77,216,452,47,12,114,20,0,534,688,63,46,2,7,10,801,8431.0
1,2,387,59,21,10,697,82,0,839,188,5,2,9,1331,710,2006,0,0,16,0,539,217,145,1,473,82,202,556,95,25,169,44,0,828,992,149,39,1,25,17,1180,12144.0
0,0,178,26,3,2,377,12,0,556,44,0,2,15,850,165,1004,0,0,15,0,284,213,44,2,375,57,69,329,75,34,114,10,0,299,542,74,25,4,13,23,543,6378.0
4,0,396,91,14,4,794,29,0,1148,183,3,1,12,1316,393,2341,0,0,38,0,632,121,152,3,849,137,337,724,78,61,185,102,0,768,1183,159,60,1,25,40,1174,13558.0
1,0,719,93,38,1,912,89,0,1222,435,0,3,9,939,583,2479,0,0,32,0,756,110,162,5,566,154,376,738,100,60,238,69,0,1054,1448,260,84,1,13,25,1823,15597.0
0,2,356,53,6,12,553,44,0,628,221,1,1,10,648,228,1177,0,0,19,0,437,192,93,0,407,71,262,441,34,15,95,18,0,464,784,89,17,0,8,2,796,8184.0
0,0,231,48,6,4,571,28,0,662,124,0,1,5,953,197,1289,0,0,41,0,463,241,107,0,409,85,189,523,86,34,199,19,0,493,867,117,32,0,22,7,777,8830.0
0,0,33,3,0,16,66,4,0,117,8,1,0,0,100,39,202,0,0,2,0,46,109,10,0,52,6,19,46,8,1,13,0,0,58,104,22,1,0,1,0,103,1190.0
0,0,240,33,22,21,611,77,0,705,262,29,1,6,718,283,1406,0,0,26,0,429,294,79,2,413,52,290,488,43,14,95,58,0,557,726,118,24,1,7,0,817,8947.0
6,0,551,117,27,18,1313,62,0,1191,312,38,4,13,1272,457,2480,0,0,40,0,946,353,163,5,793,160,381,933,101,59,323,35,0,891,1642,205,54,4,36,13,1554,16552.0
0,0,50,22,8,3,212,33,0,183,43,0,0,5,145,88,346,0,0,4,0,106,52,22,1,121,12,70,153,13,1,53,11,0,163,229,33,17,0,6,0,216,2421.0
0,0,50,6,2,1,96,16,0,160,4,0,0,2,140,71,246,0,0,3,0,56,55,20,4,78,12,69,104,13,3,33,0,0,99,146,26,9,0,5,0,113,1642.0
1,0,246,45,6,7,527,28,0,660,131,18,0,6,680,228,1346,0,0,21,0,343,251,118,7,458,72,263,510,43,26,161,38,0,571,835,115,61,2,16,10,864,8714.0
2,0,392,62,11,6,565,37,0,642,120,47,6,6,847,240,1200,0,0,26,0,517,293,99,1,437,74,185,455,82,41,127,21,0,513,861,99,55,3,23,23,844,8962.0
1,0,360,80,8,4,1058,36,0,801,262,27,8,8,994,322,1707,0,0,20,0,722,147,149,3,569,65,400,769,112,44,163,27,0,620,1064,166,70,0,17,8,1119,11930.0
0,0,34,5,7,0,53,3,0,98,18,0,0,1,217,49,222,0,0,1,0,52,20,12,0,73,6,16,68,4,1,31,5,0,58,179,9,5,0,3,2,137,1389.0
1,2,203,44,10,12,541,32,0,584,155,21,0,6,556,241,1215,0,0,18,0,394,158,72,0,468,53,241,438,54,30,89,17,0,484,769,83,68,0,8,2,700,7769.0
0,0,148,39,5,1,389,18,0,638,92,6,0,4,801,170,1116,0,0,8,0,306,99,65,2,433,52,167,331,49,23,89,17,0,310,679,85,28,0,8,8,570,6756.0
6,0,463,76,20,59,1069,93,0,1052,251,85,2,14,1776,381,1977,0,0,46,0,869,646,173,5,710,93,315,787,108,63,179,41,0,819,1166,284,80,3,45,16,1178,14950.0
0,0,7,0,0,0,31,1,0,32,17,1,0,0,105,11,52,0,0,1,0,19,2,10,0,37,5,21,38,3,0,2,1,0,24,28,5,2,0,2,0,28,485.0
0,0,265,69,14,3,596,39,0,553,122,16,1,4,507,232,1067,0,0,17,0,394,91,140,1,338,44,141,433,50,21,160,24,0,473,662,144,20,1,6,25,648,7321.0
7,1,679,87,28,1,1112,42,0,1384,214,31,2,25,1298,415,2356,0,0,42,0,960,158,183,7,720,123,370,868,81,73,273,32,0,1026,1425,172,51,0,28,39,1319,15632.0
0,0,650,102,10,0,906,64,0,1106,196,0,0,10,974,591,2418,1,1,29,0,677,146,159,5,656,98,324,718,81,39,245,35,0,1260,1435,218,35,2,16,20,1525,14752.0
1,0,42,0,1,6,50,3,0,85,21,0,0,1,64,23,125,0,0,4,0,50,39,14,0,42,6,12,34,5,3,5,0,0,41,78,8,0,0,1,0,97,861.0
3,0,231,52,16,3,450,8,0,657,112,0,1,8,793,220,1128,0,0,13,0,371,149,73,6,434,63,177,372,44,34,104,17,0,533,770,70,28,1,17,10,785,7753.0
0,0,438,61,10,13,707,39,0,903,120,43,1,9,1118,299,1872,0,0,18,0,604,299,189,2,494,122,264,560,61,39,215,29,0,619,1144,215,27,2,31,4,1306,11877.0
0,0,58,6,1,2,205,14,0,190,19,0,1,0,256,81,451,0,0,1,0,98,67,27,0,109,7,61,157,8,2,47,4,0,149,235,54,15,0,3,2,310,2640.0
2,0,202,37,6,11,437,30,0,406,57,40,0,3,662,173,820,0,0,16,0,350,215,73,0,319,43,84,272,34,17,76,23,0,405,513,44,30,1,11,4,471,5887.0
2,0,391,74,22,8,864,22,0,1049,201,17,1,15,1147,395,2102,0,0,29,0,624,188,184,2,770,97,365,528,112,16,128,91,0,744,1288,195,53,3,16,11,1472,13226.0
2,1,348,60,15,4,632,27,0,921,113,15,0,7,922,352,1951,0,0,18,0,507,204,206,1,507,149,276,535,64,68,206,45,0,574,1122,187,23,1,14,9,1341,11427.0
1,0,521,82,22,23,1101,110,0,1326,291,25,5,8,1484,461,2244,0,0,42,0,837,307,143,0,825,133,433,883,149,40,251,57,0,1121,1285,196,30,1,16,16,1386,15855.0
0,0,478,74,8,12,627,42,0,1103,127,73,8,8,1053,387,1618,0,0,37,0,501,498,120,0,505,81,322,522,78,48,118,27,0,552,936,220,40,0,20,2,972,11217.0
0,0,35,3,1,5,68,5,0,50,12,0,0,1,87,39,167,0,0,3,0,48,45,18,0,41,3,29,60,4,0,17,3,0,65,103,9,4,0,0,0,123,1048.0
1,0,182,45,17,1,612,14,0,772,111,0,0,7,1052,282,1272,0,0,17,0,369,135,93,5,560,64,230,515,42,21,137,40,0,656,931,115,28,1,14,7,954,9302.0
4,0,301,51,6,3,637,61,0,599,157,12,3,7,620,235,1209,0,0,12,0,437,101,96,4,386,66,206,428,69,31,143,16,0,415,724,155,35,1,6,11,804,8051.0
2,0,261,84,12,6,982,70,0,870,155,60,1,18,1563,308,1525,0,0,21,0,615,180,148,2,629,84,301,627,61,40,174,26,0,756,861,247,54,5,40,24,973,11785.0
0,0,371,60,11,2,441,75,0,681,129,7,0,6,852,248,1342,0,0,22,0,425,186,143,0,525,82,157,339,55,49,81,17,0,445,960,134,31,0,13,1,933,8823.0
10,1,184,24,10,14,467,12,2,590,135,21,0,13,643,209,1140,0,0,13,0,330,160,57,1,453,48,168,323,63,19,73,10,0,404,749,84,58,1,11,4,653,7157.0
2,0,222,17,1,0,480,26,0,511,57,0,1,13,804,195,1230,0,0,18,0,390,123,58,0,398,59,145,390,85,21,114,6,0,312,803,104,19,0,7,3,582,7196.0
1,0,423,52,25,9,951,58,0,948,270,59,1,14,1252,510,1856,0,0,28,0,813,297,150,3,588,128,442,866,99,38,209,35,0,819,1181,181,68,0,16,38,1203,13631.0
1,0,273,51,8,10,506,25,0,490,66,0,1,3,776,202,991,0,0,13,0,418,296,71,1,302,57,193,422,19,21,122,21,0,372,545,60,12,1,15,5,649,7018.0
0,0,70,3,5,0,54,3,0,97,10,0,0,1,77,34,169,0,0,2,0,62,25,40,0,73,15,20,59,5,3,22,3,0,53,133,5,34,0,5,2,138,1222.0
0,0,87,6,0,0,108,8,0,233,12,0,0,3,179,74,263,0,0,2,0,93,24,10,3,86,6,48,78,9,1,23,4,0,98,176,15,7,0,3,2,161,1822.0
1,0,328,57,12,9,609,22,0,624,173,12,0,4,642,273,1296,0,0,22,0,468,185,127,1,444,73,238,526,64,32,145,22,0,519,859,95,51,0,23,3,883,8842.0
2,2,250,52,9,1,482,25,0,723,124,0,0,8,688,239,1130,0,0,13,0,350,184,53,3,475,54,156,350,48,37,94,12,0,415,686,81,34,0,20,6,654,7460.0
0,0,50,2,2,4,210,16,0,215,40,0,1,4,229,105,444,0,0,2,0,100,63,21,0,148,21,76,179,7,7,48,2,0,143,312,44,7,0,4,1,240,2747.0
0,0,200,60,15,0,843,24,0,782,209,18,1,10,982,289,1587,0,0,18,0,526,128,109,0,478,42,312,647,91,33,111,47,0,572,878,164,63,0,20,24,944,10227.0
0,0,236,53,10,2,497,21,0,568,71,1,0,4,714,234,1045,0,0,15,0,388,138,58,2,289,72,178,399,39,19,138,19,0,391,615,62,14,0,22,27,640,6981.0
1,1,288,59,10,2,544,30,0,722,90,1,1,5,1076,234,1087,0,0,15,0,397,131,50,1,394,56,189,527,62,10,141,22,0,441,538,65,27,0,9,10,728,7964.0
